repo,type,link,severity,package
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/46,medium,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/44,high,
multiversx/mx-api-service,dependabot,https://github.com/multiversx/mx-api-service/security/dependabot/27,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/173,critical,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/172,critical,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/169,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/168,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/166,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/164,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/162,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/161,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/159,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/158,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/145,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/144,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/139,low,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/137,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/127,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/125,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/115,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/105,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/103,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/93,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/92,low,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/88,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/86,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/81,medium,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/80,high,
multiversx/mx-wallet-dapp,dependabot,https://github.com/multiversx/mx-wallet-dapp/security/dependabot/47,medium,
